Membership No  Date Joined  Active  
    94615      2018-9-10    yes   
    95878      2018-7-25    no    
    85083      2020-10-17   no    
    49330      2019-3-19    no    
    76376      2017-1-11    yes   
    46460      2015-3-17    yes   
    28389      2020-8-2     yes   
    25254      2020-10-13   yes   
    10486      2019-4-15    no    
    68008      2016-5-6     yes   
    27769      2015-9-17    no    
    68834      2017-7-16    yes   
    40592      2019-10-17   no    
    33017      2020-12-10   no    
    39882      2019-8-19    no    
    17320      2018-5-6     no    
    29456      2019-1-4     no    
    71049      2016-6-4     yes   
    77767      2019-12-20   yes   
    10247      2017-3-8     no    
