Membership No  Date Joined  Active  
    37076      2015-12-11   no    
    69967      2016-9-16    no    
    45453      2019-7-25    no    
    77066      2019-7-18    no    
    81128      2017-12-21   yes   
    53548      2018-10-13   yes   
    80656      2019-2-5     yes   
    90533      2018-9-12    yes   
    69388      2019-11-7    no    
    97547      2015-1-12    no    
    27418      2018-7-14    yes   
    39850      2017-2-19    yes   
    32797      2020-2-19    yes   
    16974      2019-12-10   yes   
    45226      2015-10-2    yes   
    25515      2016-6-13    no    
    10905      2015-1-25    yes   
    17006      2016-8-19    no    
    25741      2020-12-4    no    
    93118      2015-4-20    no    
